Posição,Tempo
1,0.021940946578979492
2,0.007310152053833008
3,0.00765228271484375
4,0.0069789886474609375
5,0.005983829498291016
6,0.007253408432006836
7,0.005713462829589844
8,0.005982637405395508
9,0.005986452102661133
10,0.004984378814697266
11,0.007021427154541016
12,0.0049479007720947266
13,0.005982637405395508
14,0.005986213684082031
15,0.005982875823974609
16,0.0050067901611328125
17,0.0049669742584228516
18,0.005021810531616211
19,0.004985809326171875
20,0.0039942264556884766
21,0.00398564338684082
22,0.004998445510864258
23,0.003940105438232422
24,0.0049893856048583984
25,0.004002809524536133
26,0.00600433349609375
27,0.004974365234375
28,0.004002571105957031
29,0.005005359649658203
30,0.005021810531616211
31,0.00498652458190918
32,0.004987955093383789
33,0.004984378814697266
34,0.005012035369873047
35,0.004928112030029297
36,0.0050466060638427734
37,0.0049593448638916016
38,0.005026102066040039
39,0.005994319915771484
40,0.004903316497802734
41,0.008165359497070312
42,0.007795572280883789
43,0.007035970687866211
44,0.00795888900756836
45,0.006039857864379883
46,0.006887674331665039
47,0.005983829498291016
48,0.006981849670410156
49,0.0069811344146728516
50,0.00798177719116211
51,0.007021427154541016
52,0.007962942123413086
53,0.00994563102722168
54,0.006108999252319336
55,0.007952213287353516
56,0.008925676345825195
57,0.008927345275878906
58,0.006981611251831055
59,0.007979154586791992
60,0.007978439331054688
61,0.011018037796020508
62,0.008976459503173828
63,0.010966300964355469
64,0.009929895401000977
65,0.010974407196044922
66,0.013094425201416016
67,0.010891437530517578
68,0.008922576904296875
69,0.010024309158325195
70,0.008974790573120117
71,0.009036540985107422
72,0.010863065719604492
73,0.009970664978027344
74,0.010972976684570312
75,0.00897359848022461
76,0.012967586517333984
77,0.00906991958618164
78,0.008880138397216797
79,0.008976221084594727
80,0.00897669792175293
81,0.008028507232666016
82,0.00903010368347168
83,0.008917808532714844
84,0.009926557540893555
85,0.011017084121704102
86,0.009926319122314453
87,0.00997304916381836
88,0.01001882553100586
89,0.008974790573120117
90,0.00893259048461914
91,0.008976459503173828
92,0.00802159309387207
93,0.011926651000976562
94,0.007976531982421875
95,0.010970115661621094
96,0.01300954818725586
97,0.008976221084594727
98,0.008935689926147461
99,0.00904989242553711
100,0.009896993637084961
