Posição,Tempo
1,0.09072184562683105
2,0.06477618217468262
3,0.06582403182983398
4,0.06587052345275879
5,0.06278586387634277
6,0.06183671951293945
7,0.05684661865234375
8,0.08377861976623535
9,0.06188035011291504
10,0.05485677719116211
11,0.048854827880859375
12,0.027927398681640625
13,0.027885913848876953
14,0.027924299240112305
15,0.030916452407836914
16,0.02991962432861328
17,0.031951904296875
18,0.03690910339355469
19,0.04184317588806152
20,0.07180929183959961
21,0.0608370304107666
22,0.06487202644348145
23,0.06079244613647461
24,0.058841705322265625
25,0.06283235549926758
26,0.06283211708068848
27,0.06387567520141602
28,0.03989434242248535
29,0.026920557022094727
30,0.02693653106689453
31,0.029870033264160156
32,0.050899505615234375
33,0.038861989974975586
34,0.04188728332519531
35,0.03789782524108887
36,0.032912254333496094
37,0.027925491333007812
38,0.026927709579467773
39,0.026928186416625977
40,0.03394770622253418
41,0.03291058540344238
42,0.031877756118774414
43,0.031914710998535156
44,0.05591082572937012
45,0.0468137264251709
46,0.026927947998046875
47,0.026929140090942383
48,0.03394889831542969
49,0.03290677070617676
50,0.02692890167236328
51,0.028937816619873047
52,0.02892327308654785
53,0.026911020278930664
54,0.028922319412231445
55,0.02789306640625
56,0.05984020233154297
57,0.04687190055847168
58,0.044881343841552734
59,0.054852962493896484
60,0.05285906791687012
61,0.05789613723754883
62,0.051813602447509766
63,0.05385255813598633
64,0.05189633369445801
65,0.05787324905395508
66,0.07079362869262695
67,0.059793710708618164
68,0.08881235122680664
69,0.06681632995605469
70,0.06782341003417969
71,0.06078791618347168
72,0.06388235092163086
73,0.0747518539428711
74,0.061875104904174805
75,0.06391334533691406
76,0.06170535087585449
77,0.06183457374572754
78,0.06682538986206055
79,0.05983591079711914
80,0.09773993492126465
81,0.06981205940246582
82,0.05983901023864746
83,0.0598909854888916
84,0.055800437927246094
85,0.05984091758728027
86,0.07684087753295898
87,0.07275795936584473
88,0.07485079765319824
89,0.05978894233703613
90,0.06088089942932129
91,0.05979657173156738
92,0.08876252174377441
93,0.0668642520904541
94,0.06378650665283203
95,0.06188225746154785
96,0.06777596473693848
97,0.06382465362548828
98,0.0608370304107666
99,0.06287956237792969
100,0.05979204177856445
